Country,Year,Month,Sector,Value
Russia,2019.0,8.0,Domestic Aviation,0.04
Russia,2019.0,8.0,Ground Transport,0.506
Russia,2019.0,8.0,Industry,0.626
Russia,2019.0,8.0,International Aviation,0.032
Russia,2019.0,8.0,Power,3.118
Russia,2019.0,8.0,Residential,0.961
Spain,2019.0,8.0,Domestic Aviation,0.013
Spain,2019.0,8.0,Ground Transport,0.252
Spain,2019.0,8.0,Industry,0.181
Spain,2019.0,8.0,International Aviation,0.051
Spain,2019.0,8.0,Power,0.185
Spain,2019.0,8.0,Residential,0.172
United Kingdom,2019.0,8.0,Domestic Aviation,0.006
United Kingdom,2019.0,8.0,Ground Transport,0.329
United Kingdom,2019.0,8.0,Industry,0.116
United Kingdom,2019.0,8.0,International Aviation,0.082
United Kingdom,2019.0,8.0,Power,0.239
United Kingdom,2019.0,8.0,Residential,0.318
United States,2019.0,8.0,Domestic Aviation,0.465
United States,2019.0,8.0,Ground Transport,4.258
United States,2019.0,8.0,Industry,2.726
United States,2019.0,8.0,International Aviation,0.211
United States,2019.0,8.0,Power,3.795
United States,2019.0,8.0,Residential,2.32
WORLD,2019.0,8.0,Domestic Aviation,0.969
WORLD,2019.0,8.0,Ground Transport,17.793
WORLD,2019.0,8.0,Industry,27.946
WORLD,2019.0,8.0,International Aviation,1.564
